ThÃ¨me;CatÃ©gorie;Mot francais;Synonyme francais;Description;Traduction;TradEG;TradD;TradA;TradH;TradAv;TradP;TradX
Nature;Salades Sauvages;Ail;Oignon Sauvage;;Sebeilloun Sabouilhoun Ou Sebouilhoun Sabouillon Sebeihoun Oignon Sauvage Ou Trés Petit Cebihoun;;;Sebouilhoun;;Sebeihoun;Sabouillon;Cebihoun
Nature;Salades Sauvages;Asperges Sauvages;;;Aspergé Ou RamoéCouniéu RamoCouniou RamoCounieou Ou RoumanieouCounieou Ramocouniou Damo Deis Tinos A;;RamoéCouniéu;RoumanieouCounieou;;Tino;Ramocouniou Tinos Couniou;RoumaniéuCouniéu Réumi Beteli RoumaninCouniéu
Nature;Salades Sauvages;Boursette;;;Mousselet De Vigno Plante Au Milieu Des Vignes Au Début Du Printemps Bonne Pour LHémorragie;;;;;Vigno LHémorragie;;
Nature;Salades Sauvages;Concombre Sauvage;;;Coucoumasso Plante Coucouroumasso Cougoumas;;;;;;Coucouroumasso;Cougoumas
Nature;Salades Sauvages;Cousteline;;;Passerage Sorte De Cresson Granitort;;;Cresson;;;;Granitort
Nature;Salades Sauvages;Cresson;;;BramoFan Blanchoun égo Ibéride Pinnée Linéoulado;;;;;;;Blanchoun égo Linéoulado
Nature;Salades Sauvages;Cresson Sauvage;Ibéride Pinnatiféde;;Douceto Doucetto Salade De Printemps Et DHiver Mousselets Doucetto Ou Douceto Valerianella Engroulet;;;Douceto;;Doucetto Mousselets;Douceto;Engrouleto Lacheto Diéu
Nature;Salades Sauvages;Cressonnette;;;Racambolo;;;;;;;
Nature;Salades Sauvages;Doucette;Méche;;Rafanage;;;;;;;Rafanage
Nature;Salades Sauvages;Echalotte;;;Lachugo Fero Barraqueto Escarolo;;;;;;;Escarolo
Nature;Salades Sauvages;Faux Raifort;;;Lachugueto Pan Froument Raspello;;;;;;;Lachugueto Froument
Nature;Salades Sauvages;Lachalébre;;;Ampouleto;;;;;;;Ampouleto
Nature;Salades Sauvages;Laitue Sauvage;;;Mousselet Moucelets Nom Générique Pour Les Salades Sauvages;;;;;Mousselet Moucelets;;
Nature;Salades Sauvages;Méche;;;Salade Champétre Champanello;;;;;;;Champétre Champanello
Nature;Salades Sauvages;Méche Dentée;Ampoulette;;Plante Au Goét Piquant Comme La Roquette Moucelet De Vigno;;;;;Vigno;;
Nature;Salades Sauvages;Poule Grasse;Valérianelle;;Ravanello Ravaniscle Rousello;;;;;;;Rousello
Nature;Salades Sauvages;Maugier;;;Margarideto Pamparineto Pascaleto;;;;;;;Margarideto Pamparineto Pascaleto
Nature;Salades Sauvages;Mesclun;;;Pissaoulié Pisso Oou Liech Pisso Au Liech PissoChin Dent De Lien Fuiaraco Mourre Peto Lagagno;;;Liech Lien;;PissoChin;Liech;Fuiaraco Mourre Lagagno
Nature;Salades Sauvages;Moucelets;Bourcette;;Pouerri Fer PouerriCouguou Pourrachoun Pourrato;;;Fer;;PouerriCouguou;;Pourrachoun Pourrato
Nature;Salades Sauvages;Moutarde Sauvage;Radis;;Rampucho Rampoucho Raiponse Ou Raifort Sauvage Rampouchou Rapounchoun;;;Sauvage;;Rampouchou;Rampoucho;Rapounchoun
Nature;Salades Sauvages;Péquerette;;;Roussergue;;;;;;;Roussergue
Nature;Salades Sauvages;Pissenlits;;;Rifouert La Racine Est Diurétique Reifouer Rainfouer Ou Rifouer Rifouar Rais Fort Ravanas Ravanet;;;Diurétique;;Rifouer Rifouar;Reifouer;Fort Ravanas Ravanet
Nature;Salades Sauvages;Poireau Sauvage;;;Rouquetto Rouqueto Rouquéto Fero Erucague Erugo Navelas Moutarde FausseRoquette Pito Galino Fausse R;;;Rouquetto Erucague;;;Rouqueto;Erugo FausseRoquette Roquette Blanco RaboCau
Nature;Salades Sauvages;Radis Des Champs;Raimponce;;Salsifi Cercifi Sarsifi;;;Cercifi;;Salsifi;;Sarsifi
Nature;Salades Sauvages;Radis Sauvage;;;Barbabou Bouchino;;;;;;;Barbabou Bouchino
Nature;Salades Sauvages;Raifort;Rave Des Jardins;;CouestoCounhiéro En Salade Au Printemps;;;;;Printemps;;
Nature;Salades Sauvages;Roquette;;;épi Bastard Cisto Cistro;;;;;;;Bastard Cistro
Nature;Salades Sauvages;Salsifi;;;Api Fer épi Bouscas Ou Fér;;;;;;;Fér
Nature;Salades Sauvages;Salsifi Des Prés;;;Ailhet Ayet;;;;;Ayet;;
Nature;Salades Sauvages;Terre Crépie;Petit Laiteron;;Armoun;;;;;;;
Nature;Autres Plantes Cultivées;Ache Des Montagnes;Livéche;;Farinello Farineto Pato DAuco;;;;;;;Farineto DAuco
Nature;Autres Plantes Cultivées;Ache;Persil Odorant;;Sangéri;;;;;;;Sangéri
Nature;Autres Plantes Cultivées;Ail;;;Espinarc Fér;;;;;;;Fér
Nature;Autres Plantes Cultivées;Ansérine Verte;Potentille Ansérine;;Erbo Déu Masclun;;;;;;;Masclun
Nature;Autres Plantes Cultivées;Ansérine Blanche;;;Seniscle;;;;;;;Seniscle
Nature;Autres Plantes Cultivées;Ansérine BonHenri;;;Armoou Aussi Folletes Harmoou Ou Prudes Femmes Armoou Ou Armoux Arméu BonoDamo Armoou Bonne Dame Bén;;;Dame;;Armoux;Folletes Harmoou Femmes;BonoDamo BénoDamo Fouleto
Nature;Autres Plantes Cultivées;Arroche Des Jardins;;;Aubeno;;;;;;;Aubeno
Nature;Autres Plantes Cultivées;Arroche Glauque;;;La Civado Civado Féro Avoine Sauvage;;;;;Civado;Sauvage;
Nature;Autres Plantes Cultivées;Arroche Sauvage;;;Baricot Ou Babarico;;;;;;;
Nature;Autres Plantes Cultivées;Arroches;Bonnes Dames;;Aufegue Barbarié Couguou Rapugo Smyrne Doou Diable Aegilops Moounié Ou Pontis Pontus Sarrazin Noir T;;;Aufegue Nouno;;Couguou Smyrne Aegilops Pontus Noir Froment;;Gros Negre Naples Barbu Touselle
Nature;Autres Plantes Cultivées;Aubaine;;Sorte De Froment;Lou Bla Blad;;;;;;;Blad
Nature;Autres Plantes Cultivées;Avoine;;;Bla Anoué;;;;;;Anoué;
Nature;Autres Plantes Cultivées;Basilic;;;Cassis;;;;;;;Cassis
Nature;Autres Plantes Cultivées;Blé;Espéce;;Cicori Cicoureyo Endivo Cicéri;;;Cicoureyo;;Cicori Cicoureyo Endivo;;Cicéri
Nature;Autres Plantes Cultivées;Blé;;;Civetto;;;Civetto;;;;
Nature;Autres Plantes Cultivées;Blé Maigre;;;Andivo Il Le Nomme Chicorée Endivio Endivo;;;;;;;Endivo
Nature;Autres Plantes Cultivées;Cassis;Groseiller Noir;;Espeoutre Espeoute Hourdea Espeouto;;;Espeoute;;Espeouto;Hourdea;
Nature;Autres Plantes Cultivées;Chicorée;;;Announo Ou Nouno Espéoulo;;;;;Espéoulo;;
Nature;Autres Plantes Cultivées;Civette;;;Pessegalo;;;;;;;Pessegalo
Nature;Autres Plantes Cultivées;Endive;;;Tuello;;;;;;;Tuello
Nature;Autres Plantes Cultivées;épeautre;;;Barbo Negro;;;;;;;Negro
Nature;Autres Plantes Cultivées;Froment;;;Bladeto;;;;;;;Bladeto
Nature;Autres Plantes Cultivées;Froment;;;Seissetto éufegue PrimoAnouno;;;;;Seissetto;;éufegue PrimoAnouno
Nature;Autres Plantes Cultivées;Froment;;;Seysseto Issu De Sicile Et Semé En Arles;;;Arles;;;;
Nature;Autres Plantes Cultivées;Froment;;;Avena;;;;;;Avena;
